name,scheme
addrAtDxCountry,iso_country
addrAtDxState,state
addrCurrentCountry,iso_country
addrCurrentState,state
afpPostOrchiectomyRange,afpPostOrchiectomyRange
afpPreOrchiectomyRange,afpPostOrchiectomyRange
afpPretreatmentInterpretation,pretreatment_interpretation
ambiguousTerminologyDx,ambiguousTerminologyDx
anemia,anemia
autopsy,autopsy
bilirubinPretreatmentUnitOfMeasure,bilirubinPretreatmentUnitOfMeasure
birthplace,place
birthplaceCountry,iso_country
birthplaceState,state
brainMolecularMarkers,brainMolecularMarkers
ca125PretreatmentInterpretation,pretreatment_interpretation
casefindingSource,casefindingSource
ceaPretreatmentInterpretation,ceaPretreatmentInterpretation
censusCodSys19708090,censusCodSys19708090
censusIndCode19702000,censusIndCode19702000
censusIndCode2010,censusIndCode2010
censusOccCode19702000,censusOccCode19702000
censusOccCode2010,censusOccCode2010
censusOccIndSys7000,censusOccIndSys7000
censusTrCert19708090,censusTrCert19708090
censusTrCertainty2000,census_tract_certainty
censusTrCertainty2010,census_tract_certainty
censusTrPovertyIndictr,censusTrPovertyIndictr
censusTractCertainty2020,census_tract_certainty
chromosome3Status,chromosome3Status
chromosome8qStatus,chromosome8qStatus
classOfCase,classOfCase
cocAccreditedFlag,cocAccreditedFlag
cocCodingSysCurrent,cocCodingSysCurrent
cocCodingSysOriginal,cocCodingSysOriginal
codingSystemForEod,codingSystemForEod
computedEthnicity,computedEthnicity
computedEthnicitySource,computedEthnicitySource
creatininePretreatmentUnitOfMeasure,creatininePretreatmentUnitOfMeasure
derivedAjcc6MDescript,tnm_descriptor
derivedAjcc6NDescript,tnm_descriptor
derivedAjcc6TDescript,tnm_descriptor
derivedAjcc7MDescript,tnm_descriptor
derivedAjcc7NDescript,tnm_descriptor
derivedAjcc7TDescript,tnm_descriptor
derivedAjccFlag,derived_stage_flag
derivedPrerx7MDescrip,tnm_descriptor
derivedPrerx7NDescrip,tnm_descriptor
derivedPrerx7TDescrip,tnm_descriptor
derivedSeerClinStgGrp,derived_seer_stage
derivedSeerCmbMSrc,derivedSeerCmbMSrc
derivedSeerCmbNSrc,derivedSeerCmbNSrc
derivedSeerCmbStgGrp,derived_seer_stage
derivedSeerCmbTSrc,derivedSeerCmbTSrc
derivedSeerPathStgGrp,derived_seer_stage
derivedSs1977,seer_summary_stage
derivedSs1977Flag,derived_stage_flag
derivedSs2000,seer_summary_stage
derivedSs2000Flag,derived_stage_flag
derivedSummaryStage2018,seer_summary_stage_2018
diagnosticConfirmation,diagnosticConfirmation
esophagusAndEgjTumorEpicenter,esophagusAndEgjTumorEpicenter
extranodalExtensionClin,extranodal_extension
extranodalExtensionHeadAndNeckClinical,extranodal_extension
extranodalExtensionPath,extranodalExtensionPath
fibrosisScore,fibrosisScore
figoStage,figoStage
followUpContactState,state
followUpSource,followUpSource
followUpSourceCentral,followUpSourceCentral
followupContactCountry,iso_country
gisCoordinateQuality,gisCoordinateQuality
gleasonPatternsClinical,gleason_patterns
gleasonPatternsPathological,gleason_patterns
gleasonTertiaryPattern,gleasonTertiaryPattern
grade,grade
gradeIcdO1,grade
gradePathSystem,gradePathSystem
gradePathValue,gradePathValue
hcgPostOrchiectomyRange,hcg_range
hcgPreOrchiectomyRange,hcg_range
her2IhcSummary,her2IhcSummary
her2IshSummary,her2IshSummary
highRiskHistologicFeatures,highRiskHistologicFeatures
icdO2ConversionFlag,icdO2ConversionFlag
icdO3ConversionFlag,icdO3ConversionFlag
icdRevisionComorbid,icdRevisionComorbid
icdRevisionNumber,icdRevisionNumber
industrySource,industrySource
invasionBeyondCapsule,invasionBeyondCapsule
ipsilateralAdrenalGlandInvolvement,ipsilateralAdrenalGlandInvolvement
jak2,jak2
kitGeneImmunohistochemistry,kitGeneImmunohistochemistry
kras,kras
laterality,laterality
ldhPostOrchiectomyRange,ldh_range
ldhPreOrchiectomyRange,ldh_range
ldhPretreatmentLevel,ldhPretreatmentLevel
lnAssessmentMethodFemoralInguinal,ln_assessment_method
lnAssessmentMethodParaAortic,ln_assessment_method
lnAssessmentMethodPelvic,ln_assessment_method
lnDistantAssessmentMethod,ln_assessment_method
lnDistantMediastinalScalene,lnDistantMediastinalScalene
lnHeadAndNeckLevels1To3,lnHeadAndNeckLevels1To3
lnHeadAndNeckLevels4To5,lnHeadAndNeckLevels4To5
lnHeadAndNeckLevels6To7,lnHeadAndNeckLevels6To7
lnHeadAndNeckOther,lnHeadAndNeckOther
lnLaterality,lnLaterality
lnStatusFemoralInguinalParaAorticPelvic,lnStatusFemoralInguinalParaAorticPelvic
lymphocytosis,lymphocytosis
majorVeinInvolvement,majorVeinInvolvement
maritalStatusAtDx,maritalStatusAtDx
methylationOfO6MethylguanineMethyltransferase,methylationOfO6MethylguanineMethyltransferase
microsatelliteInstability,microsatelliteInstability
militaryRecordNoSuffix,militaryRecordNoSuffix
morphCodingSysCurrent,morphCodingSysCurrent
morphCodingSysOriginl,morphCodingSysOriginl
